作者,段子内容
出门太难,我有个侄子，小学念完就辍学了。十六岁时，嫂子天天催他找媳妇，侄子貌似也有些心动，被我制止了：他现在还是个孩子，找个比他小一点的姑娘，生个小小孩，到时候三个小孩闹腾起来，谁受得了？！嫂子想想有理，遂不提……如今，侄子已快奔三了，还没找到对象……每次见到他，我都得绕路！不为其他的，就因为嫂子天天说，当初侄子要娶的女孩现在是他婶婶——我老婆！！​
夏有凉风秋望月,假期带男友第一次见我父母，表现的很不错。晚上老爸说要和 我男票一起 睡。第二天看到都是黑眼圈的男票，我好奇的问:你这黑眼圈咋回事？？？男票委屈的说:他一个晚上都没敢睡，怕睡着了像搂着你一样不自觉的去搂你爸，谁知道半夜，你爸却搂着我，吓了我更不敢睡，也不敢动[大哭][大哭][大哭]
骑着二哈啃黄瓜,"好久没坐公交车了，末班车，没准备硬币，这还能难得到我？果断投了二十纸币下去，然后开始收后面上车的人的零钱。。。为了收齐18块钱，空旷的车厢我恁是没法坐，站在投币箱前，这都过站7,8站了。。。。更严重的事，还有两站就到终点站了，还差12。。。"
歌歌哒f,"好久没坐公交车了，末班车，没准备硬币，这还能难得到我？果断投了二十纸币下去，然后开始收后面上车的人的零钱。。。为了收齐18块钱，空旷的车厢我恁是没法坐，站在投币箱前，这都过站7,8站了。。。。更严重的事，还有两站就到终点站了，还差12。。。"
小恩的老公8,媳妇昨天生日，我买了L-V包给她！这可是媳妇最想要的，花了我半天工资呢！媳妇眉开眼笑，一边看着包一边问我，这是正品吗？我实说：正品！用了最好的牛皮！我看着皮具店老板娘亲手缝制的！那会有假？……
偷惢,刚恋爱那会，无意间跟男友说喜欢吃农村办大席的菜，没隔几天他就带着我去一家婚宴，随了五百块钱礼，坐下就开吃。期间没人搭理他，我悄悄的问:这是你家什么亲戚啊？男友压低声音:嘘～我根本不认识，你说喜欢吃，刚好早上路过这里，看到有人办婚宴就带你来了。瞬间心里感动，暗叹这样细心的男人值得嫁。后来，感情日益加深，一次酒后他说了实话，那天婚宴的主角是他前女友！
山鹰寂寞飞,刚恋爱那会，无意间跟男友说喜欢吃农村办大席的菜，没隔几天他就带着我去一家婚宴，随了五百块钱礼，坐下就开吃。期间没人搭理他，我悄悄的问:这是你家什么亲戚啊？男友压低声音:嘘～我根本不认识，你说喜欢吃，刚好早上路过这里，看到有人办婚宴就带你来了。瞬间心里感动，暗叹这样细心的男人值得嫁。后来，感情日益加深，一次酒后他说了实话，那天婚宴的主角是他前女友！
姐姐掉沟里了,刚恋爱那会，无意间跟男友说喜欢吃农村办大席的菜，没隔几天他就带着我去一家婚宴，随了五百块钱礼，坐下就开吃。期间没人搭理他，我悄悄的问:这是你家什么亲戚啊？男友压低声音:嘘～我根本不认识，你说喜欢吃，刚好早上路过这里，看到有人办婚宴就带你来了。瞬间心里感动，暗叹这样细心的男人值得嫁。后来，感情日益加深，一次酒后他说了实话，那天婚宴的主角是他前女友！
飞漠刀影!!,楼上的十岁小男孩在上网课，经常有不懂的英语问我，今天他很认真地说要感谢我。我失笑了，你要怎么感谢我?小孩想了一下说，我知道你没对象，你等着!然后蹬蹬蹬跑了。十几分钟后小孩敲门喊:“叔叔开门，我送你个女朋友!”我稳了稳神打开门，小屁孩一脸兴高采烈，往我怀里塞了个半米高的玩具米妮。
老巫婆～～,问闺蜜怎样才能在男神面前显得可爱？闺蜜说：撒娇、卖萌、嘤嘤嘤、用叠词说话！后来我照着闺蜜的话，把男神教的跟我一样了！EMMMM……
